event_player_1,event_team,xG,Goals,Difference
Alex Carpenter,BOS,5.519616773936305,7,-1.4803832260636947
Alexa Gruschow,MET,2.2697270978172672,2,0.2697270978172672
Alexandra Bender,BOS,1.6241871809814423,2,-0.3758128190185577
Alyssa Gagliardi,BOS,1.2320095884782474,0,1.2320095884782474
Amanda Kessel,MET,1.802256151984473,4,-2.197743848015527
Amanda Pelkey,BOS,2.8435752323338797,2,0.8435752323338797
Anne Schleper,BUF,0.3188907243142428,0,0.3188907243142428
Anya Battaglino,CTW,0.17506186950848152,0,0.17506186950848152
Ashley Johnston,MET,0.7727742636484131,1,-0.22722573635158694
Ashley Vesci,BUF,1.1189648529902005,0,1.1189648529902005
Blake Bolden,BOS,2.51156669637174,1,1.51156669637174
Bray Ketchum,MET,2.218119882696664,1,1.218119882696664
Brianna Decker,BOS,9.427190366896886,11,-1.5728096331031143
Celeste Brown,CTW,0.5144283488470258,0,0.5144283488470258
Corinne Buie,BUF,4.143542573620445,8,-3.8564574263795546
Courtney Burke,MET,1.9323911025007614,3,-1.0676088974992386
Cydney Roesler,CTW,1.1369180836643666,1,0.13691808366436664
Dana Trivigno,CTW,2.9942300949990575,3,-0.0057699050009425434
Devon Skeats,BUF,3.274345545230203,4,-0.725654454769797
Elena Orlando,CTW,0.3514162812117966,0,0.3514162812117966
Emily Field,BOS,2.3416647696523265,3,-0.6583352303476735
Emily Janiga,BUF,4.787768809857228,6,-1.2122311901427718
Emily Pfalzer,BUF,2.0447908440435305,1,1.0447908440435305
Gabie Figueroa,MET,0.1686890116872313,0,0.1686890116872313
Gigi Marvin,BOS,2.2154272738107035,3,-0.7845727261892965
Haley Skarupa,CTW,6.3743693518642255,7,-0.6256306481357745
Harrison Browne,BUF,2.9213524627165266,2,0.9213524627165266
Hilary Knight,BOS,5.919955848849834,7,-1.0800441511501662
Ivana Bilic,CTW,0.522172160946834,0,0.522172160946834
Jacquie Greco,BUF,1.0946376564671312,1,0.09463765646713118
Janine Weber,MET,4.4259022505428955,9,-4.5740977494571045
Jillian Dempsey,BOS,5.068752699049881,5,0.06875269904988102
Jordan Brickner,CTW,0.6793549652410782,1,-0.3206450347589218
Jordan Smelker,BOS,2.929743758777963,3,-0.07025624122203711
Jordyn Burns,BUF,0.19129863635388222,0,0.19129863635388222
Juana Baribeau,CTW,0.6179010989064648,0,0.6179010989064648
Kacey Bellamy,BOS,1.945344436395198,3,-1.054655563604802
Kaleigh Fratkin,MET,2.304029808352796,1,1.3040298083527961
Kaliya Johnson,CTW,0.3001418099760082,0,0.3001418099760082
Kathryn Tomaselli,BOS,0.6456988274180308,0,0.6456988274180308
Kayla Parsons,BUF,0.03779568865156047,0,0.03779568865156047
Kelley Steadman,BUF,3.5549449912177273,5,-1.4450550087822727
Kelli Stack,CTW,5.702344920082837,6,-0.29765507991716333
Kelly Babstock,CTW,5.028895804999775,8,-2.9711041950002253
Kiira Dosdall,MET,1.1633951106105003,2,-0.8366048893894997
Kourtney Kunichika,BUF,2.904169178028077,2,0.9041691780280772
Kristina Lavoie,BUF,0.11406723699456761,0,0.11406723699456761
Lauren Wash,MET,0.5212611927138628,1,-0.47873880728613716
Lisa Chesson,BUF,0.4437097689405276,0,0.4437097689405276
Madison Packer,MET,5.872190346715775,8,-2.127809653284225
Marissa Gedman,BOS,0.19149400785156492,0,0.19149400785156492
Meagan Mangene,CTW,0.9930261942099441,1,-0.006973805790055909
Megan Bozek,BUF,3.589028673954882,5,-1.410971326045118
Meghan   Huertas,CTW,0.08223316653949736,1,-0.9177668334605027
Meghan Duggan,BOS,5.131861974806534,8,-2.868138025193466
Micaela Long,CTW,2.6565539117346466,3,-0.3434460882653534
Michelle Picard,MET,2.210089646227177,2,0.21008964622717707
Milica McMillen,MET,1.2174962921031691,3,-1.7825037078968309
Miye D'Oench,MET,5.2164279006409675,4,1.2164279006409675
Molly Engstrom,CTW,0.6886652204333961,1,-0.31133477956660394
Morgan Fritz-Ward,MET,1.324490129951237,0,1.324490129951237
Nicole Connery,CTW,3.0768427692280875,4,-0.9231572307719125
Nicole Kosta,CTW,3.989312144753057,6,-2.010687855246943
Paige Harrington,BUF,0.24897812443436235,0,0.24897812443436235
Rachel Llanes,BOS,3.1544950864910493,3,0.15449508649104926
Rebecca Morse,MET,0.3488144195823818,0,0.3488144195823818
Rebecca Russo,MET,3.5966114213273856,3,0.5966114213273856
Sam Faber,CTW,1.791960377861779,3,-1.208039622138221
Sarah Casorso,BUF,1.1330886085701983,0,1.1330886085701983
Shannon Doyle,CTW,0.9678017685817317,0,0.9678017685817317
Shiann Darkangelo,BUF,6.603313803700821,3,3.6033138037008214
Tatiana Rafter,MET,3.552724254123768,6,-2.447275745876232
Taylor Holze,MET,0.5661454807184804,0,0.5661454807184804
Zoe Hickel,BOS,1.9652059929037,1,0.9652059929037
Zoe Hickel,CTW,1.0485720583400282,3,-1.9514279416599718
